T: 1.41, temp: 25.7979, pressure: 1003.71
T: 2.46, temp: 25.4691, pressure: 1003.46
T: 3.7, temp: 25.1404, pressure: 1003.44
T: 5.4, temp: 24.8537, pressure: 1003.49
T: 6.45, temp: 24.7426, pressure: 1003.52
T: 7.48, temp: 24.5918, pressure: 1003.52
T: 8.7, temp: 24.4781, pressure: 1003.48
T: 9.89, temp: 24.357, pressure: 1003.52
T: 11.4, temp: 24.1766, pressure: 1003.48
T: 12.46, temp: 24.1074, pressure: 1003.49
T: 13.47, temp: 24.0455, pressure: 1003.49
T: 14.51, temp: 23.9689, pressure: 1003.52
T: 15.69, temp: 23.875, pressure: 1003.49
T: 16.73, temp: 23.7959, pressure: 1003.54
T: 17.74, temp: 23.7193, pressure: 1003.53
T: 18.77, temp: 23.6379, pressure: 1003.52
T: 20.39, temp: 23.5291, pressure: 1003.55
T: 21.4, temp: 23.44, pressure: 1003.51
T: 22.43, temp: 23.3809, pressure: 1003.52
T: 23.46, temp: 23.2893, pressure: 1003.48
T: 24.47, temp: 23.193, pressure: 1003.5
T: 25.47, temp: 23.151, pressure: 1003.53
T: 26.47, temp: 23.0965, pressure: 1003.49
T: 27.5, temp: 23.0225, pressure: 1003.45
T: 28.71, temp: 22.9482, pressure: 1003.52
T: 29.88, temp: 22.8865, pressure: 1003.54
T: 31.4, temp: 22.79, pressure: 1003.55
T: 32.41, temp: 22.7258, pressure: 1003.52
T: 33.46, temp: 22.6615, pressure: 1003.54
T: 34.51, temp: 22.5752, pressure: 1003.55
T: 35.72, temp: 22.5184, pressure: 1003.52
T: 36.72, temp: 22.4613, pressure: 1003.52
T: 37.77, temp: 22.3107, pressure: 1003.52
T: 39.04, temp: 22.1477, pressure: 1003.57
T: 40.39, temp: 22.0389, pressure: 1003.51
T: 41.4, temp: 21.8732, pressure: 1003.57
T: 42.42, temp: 21.6904, pressure: 1003.56
T: 43.47, temp: 21.6211, pressure: 1003.57
T: 44.76, temp: 21.6014, pressure: 1003.54
T: 45.77, temp: 21.5348, pressure: 1003.53
T: 46.78, temp: 21.4951, pressure: 1003.53
T: 47.8, temp: 21.4037, pressure: 1003.5
T: 49.0, temp: 21.3246, pressure: 1003.51
T: 50.16, temp: 21.243, pressure: 1003.49
T: 51.4, temp: 21.1393, pressure: 1003.62
T: 52.4, temp: 21.0725, pressure: 1003.55
T: 53.4, temp: 20.949, pressure: 1003.61
T: 54.45, temp: 20.8699, pressure: 1003.59
T: 55.46, temp: 20.7166, pressure: 1003.59
T: 56.46, temp: 20.5955, pressure: 1003.59
T: 57.47, temp: 20.5609, pressure: 1003.61
T: 58.47, temp: 20.4301, pressure: 1003.62
T: 59.52, temp: 20.4102, pressure: 1003.56
T: 60.7, temp: 20.3682, pressure: 1003.56
T: 61.75, temp: 20.3633, pressure: 1003.53
T: 62.77, temp: 20.3139, pressure: 1003.59
T: 64.04, temp: 20.2719, pressure: 1003.56
T: 65.13, temp: 20.2373, pressure: 1003.58
T: 66.41, temp: 20.1805, pressure: 1003.58
T: 67.46, temp: 20.1482, pressure: 1003.62
T: 68.46, temp: 20.1359, pressure: 1003.59
T: 69.46, temp: 20.0939, pressure: 1003.59
T: 70.7, temp: 20.0594, pressure: 1003.62
T: 71.72, temp: 20.0297, pressure: 1003.57
T: 72.77, temp: 19.9975, pressure: 1003.62
T: 73.82, temp: 19.9703, pressure: 1003.59
T: 75.4, temp: 19.9283, pressure: 1003.6
T: 76.45, temp: 19.8937, pressure: 1003.68
T: 77.45, temp: 19.8295, pressure: 1003.64
T: 78.45, temp: 19.7701, pressure: 1003.53
T: 79.48, temp: 19.743, pressure: 1003.59
T: 80.71, temp: 19.6936, pressure: 1003.65
T: 81.73, temp: 19.6615, pressure: 1003.66
T: 82.76, temp: 19.6416, pressure: 1003.54
T: 84.03, temp: 19.5996, pressure: 1003.56
T: 85.4, temp: 19.5625, pressure: 1003.62
T: 86.46, temp: 19.5479, pressure: 1003.57
T: 87.5, temp: 19.5205, pressure: 1003.57
T: 88.71, temp: 19.4934, pressure: 1003.6
T: 89.88, temp: 19.4613, pressure: 1003.58
T: 91.4, temp: 19.4316, pressure: 1003.6
T: 92.4, temp: 19.4217, pressure: 1003.59
T: 93.46, temp: 19.3994, pressure: 1003.58
T: 94.51, temp: 19.3748, pressure: 1003.54
T: 95.71, temp: 19.3451, pressure: 1003.57
T: 96.72, temp: 19.3277, pressure: 1003.6
T: 97.75, temp: 19.308, pressure: 1003.6
T: 98.77, temp: 19.2857, pressure: 1003.58
T: 100.39, temp: 19.2537, pressure: 1003.68
T: 101.45, temp: 19.2389, pressure: 1003.65
T: 102.47, temp: 19.2215, pressure: 1003.64
T: 103.71, temp: 19.1943, pressure: 1003.66
T: 104.88, temp: 19.1721, pressure: 1003.66
T: 106.4, temp: 19.1449, pressure: 1004.51
T: 107.46, temp: 19.1375, pressure: 1023.63
T: 108.47, temp: 19.1152, pressure: 1003.93
T: 109.5, temp: 19.1004, pressure: 1003.64
T: 110.72, temp: 19.0832, pressure: 1003.66
T: 111.76, temp: 19.0658, pressure: 1003.64
T: 112.77, temp: 19.051, pressure: 1003.67
T: 113.81, temp: 19.0238, pressure: 1003.6
T: 114.82, temp: 19.0066, pressure: 1003.61
T: 116.41, temp: 18.9918, pressure: 1003.59
T: 117.47, temp: 18.9719, pressure: 1003.65
T: 118.47, temp: 18.9596, pressure: 1003.63
T: 119.52, temp: 18.9473, pressure: 1003.64
T: 120.72, temp: 18.9275, pressure: 1003.64
T: 121.74, temp: 18.9176, pressure: 1003.67
T: 122.77, temp: 18.9027, pressure: 1003.62
T: 124.06, temp: 18.8879, pressure: 1003.58
T: 125.4, temp: 18.8607, pressure: 1003.61
T: 126.46, temp: 18.8508, pressure: 1003.58
T: 127.5, temp: 18.8459, pressure: 1003.59
T: 128.72, temp: 18.8236, pressure: 1003.57
T: 129.89, temp: 18.8139, pressure: 1003.57
