T: 0.06, NO FIX
T: 0.19, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 0.5, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 0.81, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 1.67, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 2.0, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 2.46, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 2.97, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 3.46, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 3.96, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 4.31, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 5.66, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 5.97, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 6.45, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 6.97, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 7.48, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 7.98, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 8.46, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 8.96, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 9.26, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 9.66, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 10.15, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 10.47, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 10.78, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 11.67, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 11.99, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 12.46, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 12.98, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 13.47, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 13.98, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 14.51, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 15.02, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 15.45, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 15.96, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 16.45, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 17.0, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 17.44, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 17.74, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 18.46, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 18.77, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 19.3, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 20.66, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 20.97, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 21.67, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 21.97, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 22.7, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 23.0, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 23.46, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 23.99, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 24.47, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 25.01, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 25.47, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 25.97, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 26.47, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 26.98, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 27.5, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 28.0, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 28.47, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 28.99, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 29.29, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 29.65, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 30.15, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 30.46, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 30.76, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
T: 31.67, lat: 51.8482, long: -0.968748, alt: 76.5, spd: None, sat: 11
