T: 0.0, {'yaw': 347.125, 'roll': -3.5, 'pitch': -3.4375}, {'ax': 6.92, 'ay': 4.3, 'az': -4.66}, {'my': -9.375, 'mz': 24.25, 'mx': -16.25}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 0.0639648, {'yaw': 348.063, 'roll': -3.4375, 'pitch': -4.25}, {'ax': 6.37, 'ay': 3.95, 'az': -4.4}, {'my': -9.5625, 'mz': 23.875, 'mx': -15.6875}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 0.126953, {'yaw': 349.5, 'roll': -3.0625, 'pitch': -4.875}, {'ax': 7.43, 'ay': 5.27, 'az': -5.2}, {'my': -9.5625, 'mz': 24.5, 'mx': -13.75}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 0.187988, {'yaw': 353.063, 'roll': -2.8125, 'pitch': -8.1875}, {'ax': 6.76, 'ay': 5.87, 'az': -4.88}, {'my': -13.1875, 'mz': 26.0625, 'mx': -14.0625}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 0.436035, {'yaw': 351.875, 'roll': -3.5, 'pitch': -8.0}, {'ax': 5.78, 'ay': 3.71, 'az': -4.78}, {'my': -15.75, 'mz': 25.875, 'mx': -14.5625}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 0.500977, {'yaw': 354.938, 'roll': -2.3125, 'pitch': -8.9375}, {'ax': 6.58, 'ay': 4.65, 'az': -4.44}, {'my': -16.0625, 'mz': 25.5, 'mx': -15.6875}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 0.744019, {'yaw': 358.0, 'roll': -0.6875, 'pitch': -9.1875}, {'ax': 6.88, 'ay': 5.81, 'az': -6.14}, {'my': -17.25, 'mz': 26.375, 'mx': -14.5}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 0.807007, {'yaw': 351.188, 'roll': -3.3125, 'pitch': -7.0625}, {'ax': 6.01, 'ay': 3.38, 'az': -4.06}, {'my': -18.1875, 'mz': 24.5625, 'mx': -19.1875}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 1.40503, {'yaw': 354.313, 'roll': -2.9375, 'pitch': -2.5}, {'ax': 7.56, 'ay': 6.39, 'az': -4.56}, {'my': -20.5, 'mz': 20.875, 'mx': -20.1875}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 1.67395, {'yaw': 350.5, 'roll': -3.5, 'pitch': -1.8125}, {'ax': 7.4, 'ay': 5.05, 'az': -4.81}, {'my': -20.375, 'mz': 19.0, 'mx': -19.6875}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 1.93994, {'yaw': 346.0, 'roll': -5.375, 'pitch': -2.875}, {'ax': 7.14, 'ay': 5.2, 'az': -4.66}, {'my': -19.5, 'mz': 18.0625, 'mx': -21.5}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 2.00403, {'yaw': 335.5, 'roll': -7.75, 'pitch': 9.5}, {'ax': 8.33, 'ay': 2.64, 'az': -2.76}, {'my': -15.875, 'mz': 8.5625, 'mx': -35.875}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 2.401, {'yaw': 338.188, 'roll': -5.1875, 'pitch': 13.375}, {'ax': 9.76, 'ay': 2.83, 'az': -3.44}, {'my': -16.6875, 'mz': 6.1875, 'mx': -35.5625}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 0, 'fully_calibrated': False}
T: 2.46399, {'yaw': 344.438, 'roll': -16.9375, 'pitch': 9.875}, {'ax': 7.13, 'ay': 5.83, 'az': -1.24}, {'my': -25.0, 'mz': -5.75, 'mx': -29.5}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 1, 'fully_calibrated': False}
T: 2.90295, {'yaw': 342.938, 'roll': -22.6875, 'pitch': 8.4375}, {'ax': 8.23, 'ay': 4.41, 'az': -0.33}, {'my': -26.375, 'mz': -4.875, 'mx': -29.0625}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 1, 'fully_calibrated': False}
T: 2.96594, {'yaw': 348.563, 'roll': -30.875, 'pitch': 1.5625}, {'ax': 7.95, 'ay': 5.72, 'az': 0.21}, {'my': -27.6875, 'mz': -8.25, 'mx': -26.5625}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 1, 'fully_calibrated': False}
T: 3.40002, {'yaw': 348.5, 'roll': -33.75, 'pitch': -0.5}, {'ax': 7.91, 'ay': 4.82, 'az': 0.11}, {'my': -28.5, 'mz': -9.5625, 'mx': -25.6875}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 1, 'fully_calibrated': False}
T: 3.46301, {'yaw': 351.875, 'roll': -31.75, 'pitch': -6.25}, {'ax': 8.66, 'ay': 5.91, 'az': -0.8}, {'my': -30.6875, 'mz': -4.6875, 'mx': -24.0625}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 1, 'fully_calibrated': False}
